Indicators,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
"Value of Exports of Wholesale Trade in Agriculture, Forestry, Animal Husbandry and Fishery (100 million yuan)",,330.95,242.57,208.35,221.62,190.97,186.11,166.80,162.19,135.67,166.19,121.77,123.38,110.30,135.53,141.45,113.96
"Value of Exports of Wholesale of Food, Beverages and Tobaccos (100 million yuan)",,1070.78,1051.58,1111.76,1079.54,947.03,985.47,900.50,891.66,815.55,790.94,711.72,686.00,571.49,586.88,510.57,457.99
"Value of Exports of Wholesale of Rice, Flour and Edible Oil (100 million yuan)",,139.10,124.62,160.69,134.86,127.21,193.64,218.60,219.25,226.10,268.26,203.24,213.35,124.47,134.00,109.30,110.58
Value of Exports of Wholesale of Tobaccos (100 million yuan),,39.69,48.78,60.73,155.90,133.98,81.58,164.20,94.77,60.33,50.27,43.69,26.02,26.14,44.52,32.01,59.06
"Value of Exports of Wholesale of Textiles, Garments and Daily Consumer Articles (100 million yuan)",,10929.35,9943.10,10508.25,9721.57,8271.59,8664.69,7804.00,7313.29,6684.50,7123.22,7361.41,7784.60,7007.64,6010.11,4983.83,4148.17
Value of Exports of Wholesale of Garments (100 million yuan),,3289.48,2993.83,3344.70,3131.77,2765.85,2990.67,2818.50,2588.57,2515.45,2686.09,2744.77,2781.66,2446.97,2406.22,1928.98,1687.77
Value of Exports of Wholesale of Household Appliances (100 million yuan),,642.15,572.99,561.36,509.73,414.83,385.01,268.80,535.94,387.77,491.81,452.56,845.64,748.46,673.80,525.76,238.58
"Value of Exports of Wholesale of Culture, Sports Appliances and Equipments (100 million yuan)",,1338.72,976.33,1020.38,1038.74,866.83,744.40,643.00,589.61,601.59,565.77,591.64,511.31,427.75,296.36,229.22,192.17
Value of Exports of Wholesale of Medicines and Medical Appliances (100 million yuan),,872.50,584.61,627.61,658.47,737.65,332.91,318.80,291.54,285.59,270.45,269.94,243.93,283.49,226.83,162.03,142.69
"Value of Exports of Wholesale of Mineral Products, Building Materials and Chemical Products (100 million yuan)",,10074.11,8658.33,9185.87,7113.72,5415.23,6034.97,5963.00,5235.40,5026.42,5825.04,6364.45,5765.25,4986.35,3726.55,3012.02,1948.10
Value of Exports of Wholesale of Coal and Related Products (100 million yuan),,168.22,178.42,318.21,137.30,125.67,141.73,188.50,128.67,122.12,95.43,160.25,131.09,273.69,100.04,91.76,100.14
Value of Exports of Wholesale of Petroleum and Related Products (100 million yuan),,2196.36,1338.24,1411.90,708.21,595.80,1081.16,803.60,1085.95,941.86,985.76,949.45,727.84,764.88,524.72,378.53,182.88
Value of Exports of Wholesale of Metal and Metal Materials (100 million yuan),,3418.93,3134.12,3168.86,2642.79,2215.87,2149.72,2307.50,1484.96,1722.92,2083.34,2285.62,2249.80,1917.27,1410.66,1034.48,707.62
Value of Exports of Wholesale of Building Materials (100 million yuan),,786.41,750.85,837.50,816.94,617.80,647.81,570.50,499.17,431.21,589.76,606.43,527.39,473.66,396.90,395.57,303.67
Value of Exports of Wholesale of Chemical Fertilizer (100 million yuan),,255.34,321.35,386.64,303.66,173.39,222.26,80.10,130.76,84.26,225.22,198.19,175.68,147.60,118.12,75.78,32.65
"Value of Exports of Wholesale of Machinery, Hardware and Electronic Equipment (100 million yuan)",,18760.45,14700.58,12931.11,11586.34,9381.69,8847.95,8460.80,6973.06,5708.92,5051.36,4692.57,4687.76,4352.48,4724.29,3779.26,3042.98
Value of Exports of Wholesale of Automobiles and Parts (100 million yuan),,4997.15,4354.77,2929.17,1602.18,1022.57,1095.69,928.30,435.41,365.19,373.79,414.76,430.19,312.18,602.87,387.52,277.59
"Value of Exports of Wholesale of Computer, Software and Assistant Appliances (100 million yuan)",,2435.53,1044.45,1223.24,1141.44,1169.02,856.57,1121.50,873.96,373.26,298.94,281.12,237.48,289.23,318.26,224.40,178.14
Value of Exports of Trade Broker and Agency (100 million yuan),,824.98,747.32,857.69,1043.85,1052.42,1058.39,1346.40,1571.89,1509.90,1565.41,1254.86,1194.75,1075.71,1081.06,935.63,765.79
Value of Exports of Other Wholesale (100 million yuan),,1293.58,1109.59,987.29,996.27,600.76,491.47,554.70,515.97,1040.68,1272.99,1541.05,1405.81,1124.64,953.30,626.29,340.14
