"By retail business type",2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10,2022.11,2022.12,2023.01,2023.02,2023.03,2023.04,2023.05,2023.06,2023.07,2023.08,2023.09,2023.10,2023.11,2023.12,2024.01,2024.02,2024.03,2024.04,2024.05,2024.06,2024.07,2024.08,2024.09,2024.10,2024.11,2024.12,2025.01,2025.02,2025.03,2025.04,2025.05,2025.06,2025.07,2025.08,2025.09,2025.10,2025.11,2025.12,2026.01,2026.02,2026.03 p),2026.04 p)
"By retail business type",Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales
"Department Stores",2548874,1803962,1698069,2057305,2474372,2312717,2145965,2090506,2416847,2694894,2748101,2425345,2398853,2438297,2756442,2723107,2945080,2644545,2406092,2419540,2963172,3328705,3405568,3260660,3187527,2634903,3038036,3201334,3447455,3017032,3036074,2878292,3146686,3448104,3272785,3460072,3062624,2988967,3357840,3490298,3743887,3193720,3245692,2967662,3327346,3550056,3667875,3896461,3256797,3170646,3572575,3329812,3553294,3255239,3108132,2993084,3342618,3455846,3704262,3876229,3498953,3027207,3475942,3161028,3574772,3221595,3142468,3090567,3459424,3739072,3991802,4040028,3848356,3577207,3824804,3664204
"Large discount stores",3235517,2465291,2599678,2593974,2709738,2598351,2689437,3008962,3472045,2706445,2643345,3054963,3076450,2957724,2732523,2696316,2944435,2665100,3022162,3001304,3174884,2865245,2509796,2925159,3427387,2390074,2783159,2693733,2832157,2710844,3011991,3133506,3191879,2828241,2704500,3066441,3485426,2473948,2851714,2848227,2929501,2864918,3199158,3237279,3528200,2971554,3015989,3284479,3250598,3126012,3140594,2806119,3091593,2945683,3013906,3356573,3383965,2845103,3021773,3114580,3862486,2597079,3112909,2749521,3029991,2942962,3019032,2998666,3136562,3131928,2873322,2951993,3163856,3059363,2742284,2609771
"Duty-free shops",2024766,1102558,1087340,986741,1017936,1113009,1251560,1444154,1484088,1389363,1419559,1184860,1383118,1168713,1434711,1557425,1568697,1347863,1316723,1525999,1765750,1623485,1762932,1377977,1161878,1427919,1662912,1383265,1453575,1461441,1247448,1570118,1768232,1885575,1450058,1343965,797391,1090319,1221714,1174846,1156823,1070833,990857,1136577,1327364,1329247,1155308,1307333,1590894,915232,1186574,1250480,1254227,1199569,1147968,1215559,1194035,1111206,1014787,1257971,954397,1000604,1084509,1184867,1052538,1085420,919954,1019469,1067415,1048264,997143,1119535,1070686,962373,1082497,1119171
"Supermarkets and other retail sale in non-specialized stores",5623682,5016117,5417439,5306617,5822281,5455159,5308835,5622628,6273438,4933817,5093896,5485379,5321119,5294457,5047240,5155739,5341982,5258075,5521811,5513733,6181010,5107788,4961794,5264403,6104040,4476276,5206749,5140529,5438249,5284405,5601718,5746139,5905565,5299195,5217001,5318248,5840069,4828445,5336950,5463118,5724140,5729623,5791070,5891812,6411664,5484337,5519549,5578592,5609628,5745025,5550956,5421762,5802278,5656811,5686293,6014603,6205153,5586446,5524835,5623112,6059589,4836426,5491457,5332104,5704528,5492506,5711665,5707131,5689797,5937247,5447920,5443453,5335357,5610158,5446486,5295700
"Convenience stores",2060450,1937346,2015881,2037033,2292813,2315814,2385425,2411743,2333723,2361371,2201916,2169034,2124200,1988778,2251060,2295265,2415179,2424853,2568697,2532019,2556843,2539317,2358878,2368595,2326629,2133527,2502800,2538451,2706057,2664983,2757576,2830449,2784651,2773527,2638086,2537925,2315240,2160538,2527029,2536429,2682666,2693016,2741053,2788446,2777479,2728187,2527546,2491584,2396084,2314028,2550836,2635388,2762318,2745934,2768790,2860579,2794959,2781658,2614730,2514832,2404668,2180162,2555112,2595518,2734445,2699755,2852682,2866979,2799065,2777111,2611321,2539500,2416406,2262274,2618090,2672944
"Passenger cars & Fuel stores",7786640,6967752,9050377,8733893,8783128,9902822,8778725,8358608,8691469,8856817,9325872,9476089,8436404,7975328,10027208,9811319,9951069,10447457,10133680,9565401,8884985,9791270,10261369,10704594,8469300,8925148,10756537,10934175,11493598,11740714,11611883,11215858,10974980,11414663,11993352,11986423,9767551,10363664,11500534,10708960,10885475,11350451,9899621,10492762,10698097,10855775,11977905,11749350,9569600,9274173,11033962,10544925,10708752,10470135,10297118,10436784,10419927,10887837,11040969,11324777,9774731,10551695,11570405,11247932,11167925,11104581,11071083,10976496,11804724,10522197,11845625,12290374,10709118,10290319,13103237,11937367
"Specialized stores",15638352,13338998,12485052,13537724,15602573,14486300,13586414,13465955,14725893,14455041,14460103,14250543,13477642,13632586,14595446,14718710,15070492,14399527,14437864,14273841,16273079,16121384,15752409,16355310,15578502,14015256,15764056,15610775,16029420,14911587,14857764,14656834,15704314,15653518,15138827,15600936,15907278,14732634,16270167,16006925,16625151,15564048,15059682,14958845,16050076,16457090,15842525,16279445,14873391,14613007,15523561,15215507,15857569,15183659,15194194,14551933,16169787,16096721,15908826,16275028,15125058,14369072,15864154,15385201,16054229,15318253,15970871,15028203,16208075,17043437,16417194,16844582,15318085,15228762,17158447,16089733
"Retail sales not in stores",7373949,7762883,8695945,8221022,8621075,8426702,8466713,8849096,9387547,9191304,9544787,10057859,9597137,8551515,9807236,9612413,9813418,9477188,9903250,9565371,10042021,10412389,10764055,11246426,10272835,9578115,10523282,10163609,10495951,9975828,10024543,10474605,10164896,10685710,10939268,10923412,10630927,9986914,11016889,10280498,11223025,10688426,10748058,10842814,10963703,11528116,12093697,11441141,11724335,10986378,11608014,11535505,11813721,11150423,11339262,10928088,11066932,11621975,12184667,11872493,11484922,11212748,11927533,11706260,11826864,11488971,12081395,11397481,12708486,11772230,12508793,12561185,12464955,11533675,13194616,12435791
